Region,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Rice_Late_China_Sichuan,,,,,,,,,,,,,,,,,,,,1.75633,2.82692,2.92363,3.91667,4.17595,4.13318,4.23313,4.94702,4.50392,5.14894,5.05335,5.26316,5.61644,5.47284,6.12245,6.84211,5.02703,4.43396,4.86842,4.7532,4.69314,4.525,4.375,3.9653,4,4.34783,5.29963,4.91803,5.83333,5.71429,5.71429,6.66667,6.66667,,
Rice_Late_China_Guizhou,,,,,,,,,,,,,,,,,,,,4.83871,3.94737,3.48837,3.75,3.94737,4.09091,,5.625,,5.625,3.75,2.04545,3.75,3.84615,6.66667,4.54545,5,5,5.71429,5.71429,5,3.33333,5.19481,3.33333,5.92593,,4.934,5.25911,6.24542,6.26786,,,,,
Rice_Late_China_Yunnan,,,,,,,,,,,,,,,,,,,,2.96053,3.32898,3.88889,3.95642,3.5877,3.1875,3.00898,3.85593,3.71011,3.86441,4.60345,4.90809,5.19337,4.28421,3.38266,4.06061,3.82418,3.6678,3.72144,3.84934,3.34052,4.62312,3.90445,4.49036,4.75222,4.79362,5.31563,4.97574,5.09277,5.09755,5.30464,5.26084,5.06706,,
Rice_Early_China_Shanghai,,,,,,,,,,,,,,,,,,,,5.0983,6.0476,5.374,4.6154,5.7007,5.9385,5.901,6.73077,5.7966,5.6481,6.1304,5.7273,5,,,,,,,,,,,,,,,,,,,,,,
Rice_Early_China_Jiangsu,,,,,,,,,,,,,,,,,,,,4.4796,4.9856,5.2995,5.1508,5.6616,5.7176,5.9076,5.33333,4.3451,5.8566,5.7692,4.1597,5.2174,5.33766,5.30629,5.84,,,,,,,,,,,,,,,,,,,
Rice_Early_China_Zhejiang,,,,,,,,,,,,,,,,,,,,5.3982,5.8819,5.9919,4.957,6.0536,5.9611,6.2686,5.59404,5.2314,5.1951,5.8111,5.7447,5.5478,5.2543,5.4329,5.0406,5.419,5.63375,5.1879,4.95107,5.47554,5.50749,5.30109,5.40394,5.6392,5.54545,5.57714,5.59835,5.68964,5.90842,5.39364,6.11131,6.03722,,
Rice_Early_China_Anhui,,,,,,,,,,,,,,,,,,,,4.3986,5.314,5.6905,4.3037,5.1278,5.0405,5.3072,5.20616,5.0658,5.0875,5.2322,3.1563,4.9356,4.7229,5.0933,4.8044,3.637,5.0311,4.86146,3.89345,4.21918,4.7374,4.70901,4.61361,4.9879,5.2128,5.28936,5.33297,5.29323,5.49151,5.32777,5.35462,5.55696,,
Rice_Early_China_Fujian,,,,,,,,,,,,,,,,,,,,4.2399,4.1038,4.4262,4.6528,4.819,4.7005,4.8594,4.7794,4.9125,4.9446,4.9374,4.8454,4.9622,4.9655,4.8667,5.109,5.126,5.20664,5.05505,5.12167,4.98672,5.05119,4.87618,5.51696,5.57788,5.4616,5.3567,5.57348,5.74781,5.8741,5.78286,6.01456,6.02039,,
Rice_Early_China_Jiangxi,,,,,,,,,,,,,,,,,,,,3.9543,4.1171,4.3807,4.3511,4.7847,4.5956,4.8499,4.86048,4.6501,4.3257,4.775,4.79,4.5654,4.2678,4.6095,4.0798,4.9098,4.91261,3.97228,4.84817,5.03581,5.04125,4.81778,4.92434,5.19284,5.18558,5.32194,5.43739,5.58126,5.66676,5.03544,5.67528,5.75878,,
Rice_Early_China_Shandong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice_Early_China_Henan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice_Early_China_Hubei,,,,,,,,,,,,,,,,,,,,4.4719,5.0605,5.8755,4.8059,5.7243,5.6631,5.8339,5.54676,6.0386,6.03,6.3105,4.4935,5.8165,5.6771,5.9808,5.6961,5.34772,6.03712,5.67073,5.72333,5.52549,5.74461,5.11631,5.44799,5.65359,5.66736,5.6078,5.66658,5.81719,5.82909,5.56693,5.68929,5.93769,,
Rice_Early_China_Hunan,,,,,,,,,,,,,,,,,,,,4.8518,5.1096,5.4785,5.4802,5.6699,5.4336,5.715,5.27901,5.476,5.4393,5.6045,5.2803,5.2619,5.1031,5.5301,5.1009,5.11981,5.72398,5.15869,5.20333,5.78968,5.75413,5.12691,5.29476,5.56082,5.54515,5.51368,5.70361,5.91998,5.86484,5.61926,5.7794,5.74647,,
Rice_Early_China_Guangdong,,,,,,,,,,,,,,,,,,,,4.116,4.1149,4.5224,4.7703,4.758,4.8037,4.4914,0,5.115,5.2872,5.339,5.4231,5.6241,5.5551,5.0734,5.6518,6.0181,6.05548,6.16115,6.49804,5.94018,5.38973,5.56843,5.59325,5.71526,5.20089,5.04106,5.31328,5.09266,5.4967,5.42953,5.68355,5.71047,,
