	Region	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
50	Rice_Early_China_Zhejiang																				-0.4837	0.24185	0.11	-1.0041	0.0617	0.0	0.3075	0.0	-0.36264	-0.39894	0.2633	0.1969	0.0	-0.1786	0.0139	-0.3784	0.0	0.44585	-0.2311	-0.52447	0.17445	0.10355	-0.17445	-0.10355	0.09375	-0.03169	-0.02121	0.0	0.09129	0.21878	-0.51478	0.13849	0.0		
51	Rice_Early_China_Anhui																				-0.9154	0.4577	0.5627	-0.8241	0.0	-0.0873	0.1794	0.11866	-0.14036	0.0	0.1664	-1.7793	0.0	-0.0815	0.2889	0.0	-1.22446	0.2267	0.64228	-0.84395	-0.48983	0.12379	0.0	-0.12379	0.0	0.0	0.0	0.03974	-0.03454	0.15854	-0.02685	-0.068445	0.20234		
52	Rice_Early_China_Fujian																				0.0	-0.22925	0.0	0.0	0.1185	-0.0789	0.0404	-0.08	0.0	0.0321	0.0	-0.0992	0.0248	0.0033	-0.0988	0.0	0.017	0.08497	-0.06662	0.06662	-0.06447	0.0	-0.17501	0.05536	0.11628	-0.05536	-0.21678	0.0	0.0	0.09124	-0.09124	0.07023	0.00583		
53	Rice_Early_China_Jiangxi																				-0.1628	-0.117	0.0296	-0.0296	0.1891	-0.1891	0.0652	0.21038	-0.1249	-0.4493	0.1249	0.2246	-0.0441	-0.2976	0.0441	-0.5297	0.3003	0.06444	-0.93752	-0.06444	0.18764	0.11691	-0.21803	-0.11691	0.00726	-0.00726	0.0	0.0	0.14387	0.0855	-0.63132	0.00426	0.0835		
54	Rice_Early_China_Shandong																																																						
55	Rice_Early_China_Henan																																																						
56	Rice_Early_China_Hubei																				-0.5886	0.1273	0.815	-0.8572	0.0	0.0	0.1096	-0.28714	0.0086	0.0	0.2805	-1.323	0.0	-0.019	0.2847	0.0	-0.34838	0.34102	0.0	0.0	-0.14524	0.21912	-0.40918	-0.2056	0.04579	0.01377	-0.05878	-0.000779999999999	0.15061	0.1398	-0.25026	-0.0699	0.2484		
57	Rice_Early_China_Hunan																				-0.2578	-0.18445	0.0	0.0017	0.1897	-0.0466	0.239	-0.16029	0.0	0.0	0.1652	0.0	-0.0184	-0.1588	0.41029	-0.01891	-0.03888	0.56529	-0.04464	-0.52065	0.58635	0.45937	-0.43391	-0.25039	0.04714	0.0	-0.04714	0.0	0.21637	0.08544	-0.16014	0.016465	0.0		
58	Rice_Early_China_Guangdong																				0.0	-0.2043	0.0	0.0123	0.0	0.0457	-0.2666	-4.8037	0.0	0.0	0.0	0.0	0.201	0.0	-0.5507	0.0	0.0	0.0	0.10567	0.44256	0.0	-0.20352	-0.02482	0.02482	0.14683	-0.11239	-0.15983	0.11239	-0.22062	0.06717	-0.06717	0.093425	0.02692		
59	Rice_Early_China_Guangxi																				0.0	-0.3825	0.0	0.1987	0.0	0.0	-0.1355	0.12501	-0.13481	0.0	0.0	0.0	0.2369	0.0	-1.1565	0.0507	0.0	0.13733	-0.314	0.10073	0.314	-0.23504	0.02993	0.13656	-0.04496	-0.20587	0.0	0.10743	-0.10743	0.08676	-0.08676	0.01963	0.22547		
